題目,答案
何謂暫停融資融券?,可以了結融資融券部位，不可新增融資融券部位
下列何者「非」為公司治理評鑑構面?,優良之財務績效表現
證券公司與證券金融公司簽訂何種契約以代辦有價證券融資融券?,代理契約
證券商從事具有股權性質之投資，其轉投資總金額不得超過證券商淨值多少？,0.4
乙公司因召開股東常會辦理停止過戶，依現行規定，於停止過戶前須停止融券賣出幾日？,4
股票上市對公司有那些利益？,其他3個選項皆是。
投資人需年滿幾歲才可開立信用帳戶？,20歲
下列何種行業的存貨評價方式較適合採用個別認定法？,汽車經銷商
福隆書店售出圖書禮券，並收到現金，此一交易對財務報表的影響為：,負債增加
證券商應提撥特別盈餘公積比例為：,0.2
臺灣企業在美國發行的存託憑證稱為：,ADR
證券商受託於證券集中交易市場買賣有價證券，其向委託人收取手續費之費率由何者向主管機關申報核定之？,臺灣證券交易所
臺灣證券交易所之章程所定之設立宗旨，下列敘述何者有誤？,推升台股股價
某投顧老師放假消息，鼓吹多人買某支股票以拉抬自己手中股票價格？,涉及操縱股價
何種債券不在我國集中市場交易？,國庫券
證券交易所提存之賠償準備金，依法應如何運用？,其他3個選項皆是
下列何者非為借券人委託證券商為定價、競價交易借券申報之適格擔保品?,黃金
下列各項何者不應包含於不動產、廠房及設備之取得成本？,延遲付款之利息
對於財務風險與營運風險，下列敘述正確的有幾項？　甲、營運風險係指營業利益波動之風險，而財務風險係指企業無能力負擔財務成本之風險　乙、生產要素的價格愈不穩定，營運風險愈高　丙、固定成本愈高，營運風險愈高,3項
下列何者對普通股東最為有利？,總資產報酬率大於舉債成本且負債比率高
投資人辦理基本資料之戶籍地址變更，下列何者正確?,以非當面方式申請辦理變更，應提供具詳細記事之新式戶口名簿影本或其他有相同效力之證明文件
證券商應有最低之資本額，此所稱資本，係指下列何者？,已發行股份總額之金額
推薦證券商之股票上櫃買賣者，僅需具備哪種資格？,證券承銷商
下列何者會影響盈餘品質？,其他3個選項皆會影響
證券商辦理有價證券買賣融資融券，其融資利率及融券手續費之標準，由下列何者訂定？,證券商自行訂定，並報請金融監督管理委員會備查
國庫券是由下列哪一機構發行用以募集資金？,中央政府
存貨過多、存貨週轉率過低，可能造成企業何種損失或風險？,其他3個選項皆是
違約風險又稱：,信用風險
淨值為正之公司，舉借長期負債購買不動產、廠房及設備將使負債比率：,提高
若資本市場之證券價格已充分反應了所有已經公開之資訊，則此市場屬於何種效率市場的假設？,半強式
有關零股交易敘述（不包括創新板），以下何者正確？,應以限價為之，且限當日有效
股份有限公司董事選任後，應向主管機關申報選任當時所持有之公司股份數額，但董事於任期中轉讓持股超過二分之一時，即生下列何種情形？,當然解任
經營二種以上證券業務者，其營業保證金應如何計算？,依經營種類併計之
財務槓桿指數大於1，則：,舉債經營有利
我國企業流動比率普遍偏低之可能原因為：,其他3個選項皆是
在何種成本流動假設之下，依永續盤存制與定期盤存制所算出的存貨價值會相同？,先進先出法
公司發放現金特別股利，則：,總資產報酬率增加
在K線型態中，先陰後陽的相逢線（Meeting Lines）可視為：,底部訊號
證券商於解散或部分業務歇業時，應由下列何單位陳明事由，向主管機關申報之？,董事會
「證券交易法」規範何種型態之公司？,股份有限公司
委託人信用帳戶之整戶擔保維持率低於多少時，證券商應即通知委託人就各該筆不足擔保維持率之融資融券，於通知送達之日起二個營業日內補繳融資自備款或融券保證金差額？,1.3
發行公司辦理增資案之申報，其增資計畫是否合理、可行及必要，是指哪一類專家評估？,承銷商
櫃檯買賣證券商與客戶辦理結算款項之收付，以下何者得以其指定之保管機構設立存款帳戶，以匯撥或匯款方式辦理給付結算？,其他3個選項皆是
關於本益比(price to earnings ratio)，下列敘述何者正確？,其他3個選項皆是
下列有關證券商之敘述，何者錯誤？,證券商得投資於其他證券商
下列何者非OBV的分析論點？,投資者對股價評論愈不一致，成交量愈小
證券商辦理財富管理業務，所指高淨值客戶，係指？,新台幣三千萬元以上財力之自然人
對長期債權人而言，下列何者最為有利？,利息保障倍數增加
其它條件不變，對投資人而言本益比（P/E Ratio）通常：,愈小愈好
受託契約經解除或終止後，委託人連續幾年以上無交易紀錄，且集保存摺無餘額者，其受託契約經終止後，證券商相關資料保存期間得予縮短?<,5年
下列何者屬「公開收購公開發行公司有價證券管理辦法」所稱公開收購之有價證券？,已依證券交易法發行之公開發行公司之股票
普通股權益與流通在外普通股股數之比，可瞭解股票的：,帳面金額
哪一句話可以說明風險分散的道理？,不要將雞蛋放在同一個籃子裡
證券商於完成或更新防制洗錢及打擊資恐「風險評估報告」時，應將風險評估報告送哪個主管機關(單位)備查？,金管會
下列敘述何者正確？,已宣告未發放之現金股利為公司之流動負債
發行人募集與發行有價證券，且屬可縮短申報生效期間之條件，則其申報生效期間為幾個營業日？,7個
下列何者「不」是機構投資人可以落實盡職治理精神的行為?,無理由的買進或賣出股票
一般而言，投資下列金融工具的風險狀況依序為何？甲.短期公債；乙.股票；丙.認購權證；丁.長期公債,丙＞乙＞丁＞甲
自己不懂股票投資，可請誰代為操作股票？,請具有全權委託資格的機構代為操作
"知本公司X2年淨利6,000,000，流通在外普通股1,200,000股，年底每股市價30，則本益比為若干？",6
以下何者為外國公司來台第一上市公司？,矽力-KY
臺灣集中市場何種交易没有漲跌幅度限制？,初次上市普通股掛牌首五日
盤中零股交易於何時進行第一次撮合?,0.381944444444444
興櫃股票之最低成交單位為多少股？,一股
影響金融市場中所有資產報酬的事件，其衝擊屬於全面性的風險為：,購買力風險
將信用條件由1/10，n/30改為1/15，n/30，假設其他因素不變，則應收帳款週轉率將：,降低
證交所提供之交易資訊有傳輸中斷情事時，證券商可否請求賠償？,不得向證交所請求賠償
市場區隔理論認為到期收益率曲線會呈現何種形狀？,視各種期限債券個別之供需力量而定
何者並非強式效率市場檢定中，公司內部人員檢定之對象？,基金經理人
目前為降低發行人公開說明書製作之成本，引進他國制度而有何種型式？,簡式公開說明書
證券經紀商受託買賣，於成交後應於何時通知客戶？,成交當日
依據標準普爾（S&P）公司對債券信用評等的等級，A等級與AA等級何者違約風險較高？,A
什麼人適合投資ETF？,其他3個選項皆是
有價證券借貸之競價交易，其升降單位為：,0.001
對於從事內線交易犯罪所得金額達新臺幣一億元以上者，其法定刑最低處下列何年限之有期徒刑？,7年
下列有關流動比率之敘述，何者不正確？,以流動資產償還流動負債，流動比率一定不變
我國證券集中交易市場內有價證券之買賣分三種，下列何者為非？,特許交割之買賣
有關選擇權買賣雙方的權利與義務，何者不正確？,買方須繳交保證金
證券商108年4月份「受託買賣業務人員人數」為？(提示：可利用證交所網頁查詢),15094人
下列何者如取得或出售股票，公司應於每月15日前，彙總內部人持有股數變動之情形向主管機關申報？,公開發行公司之經理人
鉅額交易之競價方式?,配對交易、逐筆交易皆是
下列上櫃有價證券得為融資融券之條件何者有誤？,每股市場成交收盤價格在票面之上
第一次上市股票上市滿半年，每股淨值在票面以上，且無下列何種情形者，得核准其為融資融券交易股票？,股價波動過度劇烈
本公司提供「公布注意交易資訊」標準累計次數異常有價證券資訊之網站?,本公司官網
下列何者非屬「證券交易法第一百五十七條之一第五項及第六項重大消息範圍及其公開方式管理辦法」中規定的重大消息公開方式?,在上市公司官方網站公布
一般而言，「股價淨值比」與「本益比」兩者關係呈：,正相關
應對企業財務預測負最終責任的是：,企業最高管理當局
有關不限用途款項借貸業務，其中就在途交割債權作為擔保品的敘述何者錯誤？,證券商可以在T十0完成交割。
下列何者非證券經紀商於集中交易市場不履行交付義務時，可運用代為清償之資金？,證券交易所營業保證金
現金週轉率係指下列何項比率？,銷貨收入淨額對平均現金之比率
目前當沖證交稅率為多少？,千分之1.5
"菁桐咖啡每杯售價為35，變動成本每杯為7，固定成本每月約為56,000，如果預期下個月銷貨會成長42,000，請問其淨利預期會增加多少？",33600
證券商受領證券業務許可證照後，應於多久期間內開始營業，否則主管機關得撤銷其許可？,3個月
ESG涵蓋內容不包含以下何者？,政府保護
證券商申請合併其他證券商，合併前六個月之自有資本適足比率應達多少比例？,2
逐筆交易實施後，進入瞬間價格穩定時，市價委託處理方式，以下何者正確？,本公司自動刪除市價ROD單，並回報券商
集中交易市場存託憑證買賣之一個交易單位為何?,一千單位
下列有關指數投資證券(ETN)之敘述，何者為非？,無到期日
下列哪一行業在有價證券申請上櫃前，必須先取得目的事業主管機關之同意函，櫃買中心始予受理？,其他3個選項皆是
以下關於處置措施之敘述，何者正確?,股票處置的內容網路可以查得
公司清算完結時，清算人應於幾日內，造具清算期內收支表、損益表、連同各項簿冊，送監察人審查並提請股東會承認？,15日
下列何者非證券經紀商得函報撤銷委託人違約案件之合理原因?,因委託人同時為證券商辦理財富管理業務之客戶
為促進我國與其他國家證券主管機關之國際合作，政府或其授權之機構得與外國政府、機構或國際組織，得就數種事項簽訂合作條約或協定，下列何者為非？,引渡違反證券交易法之行為人
發行人內部控制制度之設計或執行有重大缺失者，證券主管機關得退回其下列何種案件？,發行具股權性質公司債對外公開承銷案件
當短天期移動平均線由長天期平均線下方突破至上方，而且兩條長、短天期平均線同時上揚時稱為：,黃金交叉
公司內部人對公司之上市股票，於取得後六個月內再行賣出，或於賣出後六個月內再行買進，因而獲得利益者，公司應請求將其利益歸於公司。此一請求權，自獲得利益之日起幾年間不行使而消滅？,2年
股份有限公司股息及紅利之分派之標準，除公司法另有規定外，下列敘述何者錯誤？,以各股東之需要為準
對整體經濟的敏感度低於一般產業平均數的產業，被稱為：,防禦性產業
公開發行公司不得在股東會以臨時動議提出之議案事項，不包括下列何者？,請求監察人說明財報疑義
證券經紀商受投資人委託買賣上櫃股票，不可接受何種委託？,議價委託
債券價格下跌的原因可能為：,市場資金大幅吃緊
下列敘述何者錯誤？,證券商對於客戶存放之有價證券可自行保管
上市上櫃公司宜對其產品與服務提供消費者何種保護措施?,提供透明且有效之消費者申訴程序
證券商辦理融資融券業務，取得融券賣出價款及融券保證金，不得為下列何項之運用？,從事放款業務
無擔保品的公司債稱為：,信用債券（Debenture）
請問依據「證券交易法」規定之私募對象中「符合主管機關所定條件之自然人、法人或基金」，主管機關所定條件不包括下列何者？,一般公眾
有關新股櫃檯買賣的規定，下列敘述何者為正確？,其他3個選項皆是
下列哪項產業，最可能被歸類為景氣循環產業？,營建業
應付公司債溢價之攤銷，將：,減少利息費用
金管會於2023年3月發布「上市櫃公司永續發展行動方案(2023年)」，何者非其四大主軸?,「營運」
鉅額買賣價格之申報，升降單位為：,0.01元
某上市公司舉行股東會，股東可用何種方式行使表決權?,其他3個選項皆是
下列敘述何者不正確？,債券市場價格與面額呈反向關係
所謂相互投資公司，為公司與他公司至少相互投資各達對方資本額之多少者，稱之？,三分之一以上
當股價向下跌破箱形（Rectangle）整理的區間時，成交量配合放大，則股價通常會：,繼續下跌
若要查詢上市公司發布之永續報告書，可於下列哪個平台取得?,其他3個選項皆是
證券商業務人員類別及其職務之配合，下列敘述何者有誤？,高級業務員負責證券業務之主管、內部稽核或主辦會計之職務
"中華公司於X9年7月1日發行股票2,000股，每股面額10取得一機器設備，經查該日該項設備之帳面金額為25,000(原成本40,000－累計折舊15,000)，市價為$30,000，則中華公司應認列此資產：",30000
下列標題哪項是臺灣證券交易所「投資人知識網」的漫畫電子書標題?,其他3個選項皆是
股份有限公司為發行公司債所設定之抵押權或質權，法律有何規範？,得由受託人為債權人取得，並得於發行公司債前先行設定
存貨計價若採先進先出法（FIFO），當物價上漲時，會造成：,成本偏低，毛利偏高
證交所依共同責任制交割結算基金特別管理委員會決議，暫停證券商買賣時，應同時函報哪一個單位？,金融監督管理委員會
下列關於證券經紀商應於辦理公司登記後提存營業保證金之敘述，何者正確？　甲、原則為新臺幣五千萬元；乙、僅經營股權性質群眾募資業務者為新臺幣一千萬元；丙、僅經營基金受益憑證買賣及互易之居間業務者為新臺幣一千萬元,甲、乙、丙
會計師辦理財務報告之查核簽證，若發生錯誤或疏漏，主管機關得視情節之輕重，為何種處分？,其他3個均可為之
發行人依「證券交易法」或「公司法」之規定首次辦理公開發行者，應採下列那一種方式？,屆滿12個營業日申報生效制
上市公司董事長與總經理為同一人或互為配偶或一親等親屬者，應揭露其原因、合理性、必要性及因應措施，有關因應措施下列何者為非？,減少董事席次
下列有關資券互抵當日沖銷之敘述，哪一項不正確？,委託人不欲為資券相抵餘額交割時，須於成交當日收盤後提出書面聲明
哪一項非我國景氣領先指標？,失業率
財務槓桿愈高，則其每股盈餘變動風險：,愈大
下列哪一個項目通常被分類在流動資產項下？,存貨
依「證券交易法」之規定，公開收購人與其關係人於公開收購後，持有被收購公司已發行股份總數超過該公司已發行股份總數達多少時，得以書面請求董事會召開股東臨時會？,百分之五十
淨值為正之企業，收回公司債產生損失，將使負債比率：,不一定
有關委託人開立信用帳戶資格，下列何者錯誤？,投資人年滿18歲
道氏理論中，告訴投資人主要的市場趨勢方向，是以下列何者來表達？,指數
小何以每股20元買進1張普通股，並於3個月後以每股23元賣出，期間並收到現金股利。若小何投資該普通股之報酬率為25%，則現金股利應為：,2元
證券商辦理有價證券買賣融資融券，對每種證券之融資總金額，不得超過其淨值為何？,0.1
央行調降存款準備率，則下列敘述何者正確？,貨幣乘數(money multiplier)變大
下列何種情況較適合採用毛利法估計期末存貨價值？,帳冊資料不全時
一般而言，目前證券商最主要之營業收入項目為？,經紀手續費收入
石城公司採定期盤存制，依先進先出法計算存貨與銷貨成本。該公司流動比率大於1，若於通貨膨脹期間，於期末賒購一批存貨，則下列何項一定會發生？,流動比率減少
以下關於封閉型與開放型基金的敘述，何者為非？甲.封閉型基金以淨值交易；乙.封閉型基金的規模不會改變，開放型則會；丙.封閉型基金可轉型成開放型基金；丁.封閉型基金可向基金公司贖回,甲、丁
